t,xA,yA,xB,yB
0.000000E0,2.713024E-2,8.363770E-2,8.039206E-2,3.495307E-2
1.668419E-2,2.712477E-2,8.364880E-2,8.038600E-2,3.494994E-2
3.336837E-2,2.715306E-2,8.363000E-2,8.039469E-2,3.495259E-2
5.005256E-2,2.714278E-2,8.363758E-2,8.038539E-2,3.495048E-2
6.673674E-2,2.713754E-2,8.363831E-2,8.038578E-2,3.495417E-2
8.342093E-2,2.711540E-2,8.363273E-2,8.036322E-2,3.495079E-2
1.001051E-1,2.711969E-2,8.363408E-2,8.037556E-2,3.495344E-2
1.167893E-1,2.714049E-2,8.362651E-2,8.038367E-2,3.495081E-2
1.334735E-1,2.710676E-2,8.365258E-2,8.037692E-2,3.495459E-2
1.501577E-1,2.710402E-2,8.363728E-2,8.037801E-2,3.494941E-2
1.668419E-1,2.711544E-2,8.363518E-2,8.038556E-2,3.494483E-2
1.835260E-1,2.712095E-2,8.362043E-2,8.037410E-2,3.493163E-2
2.002102E-1,2.712962E-2,8.362442E-2,8.037432E-2,3.493783E-2
2.168944E-1,2.712625E-2,8.362859E-2,8.037584E-2,3.494357E-2
2.335786E-1,2.712491E-2,8.363159E-2,8.038003E-2,3.494825E-2
2.502628E-1,2.711922E-2,8.362950E-2,8.036885E-2,3.494911E-2
2.669470E-1,2.709291E-2,8.363084E-2,8.036942E-2,3.494744E-2
2.836311E-1,2.711779E-2,8.362957E-2,8.036186E-2,3.494208E-2
3.003153E-1,2.711952E-2,8.363101E-2,8.037184E-2,3.494442E-2
3.169995E-1,2.711875E-2,8.363366E-2,8.037871E-2,3.494501E-2
3.336837E-1,2.712035E-2,8.363502E-2,8.037967E-2,3.494768E-2
3.503679E-1,2.712860E-2,8.364148E-2,8.038878E-2,3.495460E-2
3.670521E-1,2.713091E-2,8.365767E-2,8.038328E-2,3.495483E-2
3.837363E-1,2.710919E-2,8.364616E-2,8.037422E-2,3.495551E-2
4.004204E-1,2.712814E-2,8.364588E-2,8.038054E-2,3.495203E-2
4.171046E-1,2.711686E-2,8.364107E-2,8.037064E-2,3.495883E-2
4.337888E-1,2.713032E-2,8.364574E-2,8.037422E-2,3.495650E-2
4.504730E-1,2.712766E-2,8.364644E-2,8.037549E-2,3.495480E-2
4.671572E-1,2.711819E-2,8.364401E-2,8.037703E-2,3.495816E-2
4.838414E-1,2.710764E-2,8.363537E-2,8.038034E-2,3.496720E-2
5.005256E-1,2.711127E-2,8.363627E-2,8.037857E-2,3.496272E-2
5.172097E-1,2.711229E-2,8.364809E-2,8.038369E-2,3.495519E-2
5.338939E-1,2.711786E-2,8.364337E-2,8.038153E-2,3.495483E-2
5.505781E-1,2.713187E-2,8.364761E-2,8.038828E-2,3.495202E-2
5.672623E-1,2.713248E-2,8.364717E-2,8.038181E-2,3.495495E-2
5.839465E-1,2.712912E-2,8.364916E-2,8.038879E-2,3.495021E-2
6.006307E-1,2.712818E-2,8.364751E-2,8.038986E-2,3.495201E-2
6.173148E-1,2.712461E-2,8.364330E-2,8.037264E-2,3.495378E-2
6.339990E-1,2.712262E-2,8.364155E-2,8.037472E-2,3.495373E-2
6.506832E-1,2.712368E-2,8.364531E-2,8.037582E-2,3.495350E-2
6.673674E-1,2.712529E-2,8.364523E-2,8.038225E-2,3.494790E-2
6.840516E-1,2.719673E-2,8.366972E-2,8.038578E-2,3.489523E-2
7.007358E-1,2.726426E-2,8.366853E-2,8.037987E-2,3.483573E-2
7.174200E-1,2.725941E-2,8.366327E-2,8.037863E-2,3.483242E-2
7.341041E-1,2.727157E-2,8.366476E-2,8.038207E-2,3.482672E-2
7.507883E-1,2.727857E-2,8.365833E-2,8.036856E-2,3.483713E-2
7.674725E-1,2.728070E-2,8.365073E-2,8.038412E-2,3.479700E-2
7.841567E-1,2.727419E-2,8.364634E-2,8.036646E-2,3.480568E-2
8.008409E-1,2.728289E-2,8.364722E-2,8.037381E-2,3.479591E-2
8.175251E-1,2.727363E-2,8.364475E-2,8.037560E-2,3.479525E-2
8.342093E-1,2.728316E-2,8.364625E-2,8.037808E-2,3.479460E-2
8.508934E-1,2.747505E-2,8.366867E-2,8.031230E-2,3.461046E-2
8.675776E-1,2.769029E-2,8.373840E-2,8.030437E-2,3.437362E-2
8.842618E-1,2.778154E-2,8.378058E-2,8.026867E-2,3.428815E-2
9.009460E-1,2.814912E-2,8.387647E-2,8.017460E-2,3.390949E-2
9.176302E-1,2.832288E-2,8.390401E-2,8.014405E-2,3.371392E-2
9.343144E-1,2.831459E-2,8.390830E-2,8.016215E-2,3.373609E-2
9.509985E-1,2.830710E-2,8.392574E-2,8.017444E-2,3.374711E-2
9.676827E-1,2.852482E-2,8.398753E-2,8.015462E-2,3.360840E-2
9.843669E-1,2.905742E-2,8.412270E-2,8.003469E-2,3.303159E-2
1.001051E0,2.917518E-2,8.412351E-2,8.000645E-2,3.282756E-2
1.017735E0,2.911757E-2,8.413593E-2,8.000166E-2,3.288518E-2
1.034419E0,2.913599E-2,8.413478E-2,8.002109E-2,3.289675E-2
1.051104E0,2.912621E-2,8.412661E-2,8.002714E-2,3.288933E-2
1.067788E0,2.913815E-2,8.413128E-2,8.002981E-2,3.290067E-2
1.084472E0,2.914145E-2,8.411259E-2,8.002587E-2,3.290516E-2
1.101156E0,2.914817E-2,8.412289E-2,8.002276E-2,3.291820E-2
