t,xB,yB,xA,yA
0.000000E0,5.937860E-2,5.201349E-3,6.233297E-2,7.781219E-2
1.668419E-2,5.937631E-2,5.202318E-3,6.232872E-2,7.780949E-2
3.336837E-2,5.937662E-2,5.194163E-3,6.232971E-2,7.781029E-2
5.005256E-2,5.937048E-2,5.199057E-3,6.232558E-2,7.780887E-2
6.673674E-2,5.937101E-2,5.197178E-3,6.232718E-2,7.781032E-2
8.342093E-2,5.935589E-2,5.207854E-3,6.231814E-2,7.781960E-2
1.001051E-1,5.935951E-2,5.207928E-3,6.232103E-2,7.781766E-2
1.167893E-1,5.936339E-2,5.206701E-3,6.232350E-2,7.781678E-2
1.334735E-1,5.936724E-2,5.203867E-3,6.232365E-2,7.781425E-2
1.501577E-1,5.937520E-2,5.201339E-3,6.233904E-2,7.781548E-2
1.668419E-1,5.937457E-2,5.201654E-3,6.232270E-2,7.781082E-2
1.835260E-1,5.937463E-2,5.201780E-3,6.232384E-2,7.780988E-2
2.002102E-1,5.937459E-2,5.201867E-3,6.232508E-2,7.781049E-2
2.168944E-1,5.937800E-2,5.193452E-3,6.233202E-2,7.780819E-2
2.335786E-1,5.937746E-2,5.195345E-3,6.233093E-2,7.780830E-2
2.502628E-1,5.937925E-2,5.194042E-3,6.233387E-2,7.780860E-2
2.669470E-1,5.937753E-2,5.195144E-3,6.233895E-2,7.780932E-2
2.836311E-1,5.937820E-2,5.206630E-3,6.233660E-2,7.781477E-2
3.003153E-1,5.937772E-2,5.204859E-3,6.233555E-2,7.781394E-2
