timestamp,millis,accX,accY,accZ,gyroX,gyroY,gyroZ, loggingValueSpeed, loggingValueSteering
2024-12-20 10:48:12,18829, -0.14, 0.00, 9.41, 0.31, -0.06, -0.06, 4924, 4436
2024-12-20 10:48:12,18832, -0.18, -0.07, 9.25, -0.37, 0.19, 0.06, 4924, 4436
2024-12-20 10:48:12,18865, -0.25, -0.13, 9.35, -0.13, -0.06, 0.06, 4924, 4439
2024-12-20 10:48:12,18870, -0.19, -0.15, 9.45, -0.13, -0.06, 0.06, 4924, 4439
2024-12-20 10:48:12,18872, -0.23, -0.06, 9.49, 0.25, 0.06, 0.19, 4924, 4439
2024-12-20 10:48:12,18877, -0.23, -0.06, 9.49, 0.25, 0.06, 0.19, 4924, 4439
2024-12-20 10:48:12,18882, -0.17, 0.07, 9.46, 0.69, -0.06, 0.00, 4924, 4439
2024-12-20 10:48:12,18969, -0.15, -0.30, 9.43, -0.37, 0.13, 0.00, 4924, 4433
2024-12-20 10:48:12,18972, -0.08, 0.04, 9.34, 0.31, 0.25, -0.13, 4924, 4433
2024-12-20 10:48:12,18976, -0.20, 0.09, 9.43, 0.31, 0.25, -0.13, 4924, 4433
2024-12-20 10:48:12,18982, -0.20, 0.09, 9.43, -0.25, 0.00, 0.13, 4924, 4433
2024-12-20 10:48:12,19005, -0.17, -0.03, 9.50, -0.50, 0.00, 0.06, 4921, 4433
2024-12-20 10:48:12,19010, -0.19, -0.13, 9.41, -0.50, 0.00, 0.06, 4921, 4433
2024-12-20 10:48:12,19012, -0.20, -0.33, 9.44, -0.44, 0.25, -0.19, 4921, 4433
2024-12-20 10:48:12,19019, -0.20, -0.33, 9.44, -0.44, 0.25, -0.19, 4921, 4433
2024-12-20 10:48:12,19023, -0.19, -0.18, 9.38, 0.31, 0.00, 0.00, 4921, 4433
2024-12-20 10:48:12,19027, -0.19, -0.18, 9.38, 0.31, 0.00, 0.00, 4921, 4433
2024-12-20 10:48:12,19032, -0.17, 0.01, 9.32, 0.75, -0.25, 0.06, 4921, 4433
2024-12-20 10:48:12,19060, -0.22, 0.09, 9.43, 0.06, -0.13, 0.19, 4924, 4436
2024-12-20 10:48:12,19063, -0.14, 0.01, 9.40, -0.31, -0.19, 0.06, 4924, 4436
2024-12-20 10:48:12,19069, -0.14, 0.01, 9.40, -0.31, -0.19, 0.06, 4924, 4436
2024-12-20 10:48:12,19073, -0.21, -0.12, 9.44, -0.56, 0.13, -0.19, 4924, 4436
2024-12-20 10:48:12,19077, -0.21, -0.12, 9.44, -0.56, 0.13, -0.19, 4924, 4436
2024-12-20 10:48:12,19082, -0.17, -0.21, 9.42, -0.37, 0.00, -0.31, 4924, 4436
2024-12-20 10:48:12,19129, -0.17, -0.01, 9.43, 0.44, 0.06, 0.00, 4924, 4436
2024-12-20 10:48:12,19132, -0.12, -0.03, 9.40, 0.19, -0.13, -0.06, 4924, 4436
2024-12-20 10:48:12,19163, -0.13, -0.13, 9.41, -0.13, 0.00, 0.00, 4924, 4436
2024-12-20 10:48:12,19169, -0.13, -0.13, 9.41, -0.13, 0.00, 0.00, 4924, 4436
2024-12-20 10:48:12,19173, -0.18, -0.16, 9.43, -0.13, -0.19, 0.00, 4924, 4436
2024-12-20 10:48:12,19177, -0.18, -0.16, 9.43, -0.13, -0.19, 0.00, 4924, 4436
2024-12-20 10:48:12,19183, -0.19, -0.11, 9.42, 0.19, 0.00, -0.19, 4924, 4436
2024-12-20 10:48:12,19233, -0.16, -0.02, 9.42, 0.00, 0.25, 0.06, 4921, 4433
2024-12-20 10:48:12,19301, -0.14, -0.08, 9.39, -0.06, 0.00, 0.00, 4924, 4436
2024-12-20 10:48:12,19304, -0.13, 0.00, 9.39, 0.19, -0.13, 0.00, 4924, 4436
2024-12-20 10:48:12,19310, -0.13, 0.00, 9.39, 0.19, -0.13, 0.00, 4924, 4436
2024-12-20 10:48:12,19313, -0.13, 0.00, 9.39, 0.06, -0.31, -0.13, 4924, 4436
2024-12-20 10:48:12,19320, -0.13, 0.00, 9.39, 0.06, -0.31, -0.13, 4924, 4436
